time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
510749,330500,0.31900133333333347,3.61,25,19898,8.43,5.7127885818481445,0.001,65187
511085,330600,0.31855333333333347,3.36,25,19907,7.22,10.75671672821045,0.001,65271
511428,330700,0.31809600000000016,3.43,25,19915,7.36,2.621511936187744,0.001,65356
511771,330800,0.3176386666666666,3.43,25,19924,7.93,6.397947311401367,0.001,65442
512136,330900,0.3171520000000001,3.65,25,19933,9.15,5.777764797210693,0.001,65533
512526,331000,0.316632,3.9,25,19943,10.21,1.2925580739974976,0.001,65631
512883,331100,0.3161559999999999,3.57,25,19953,7.9,1.1242340803146362,0.001,65720
513221,331200,0.3157053333333333,3.38,25,19962,7.68,1.667794108390808,0.001,65805
513557,331300,0.3152573333333333,3.36,25,19971,7.17,2.626166820526123,0.001,65889
513887,331400,0.3148173333333333,3.3,25,19980,7.38,1.476800799369812,0.001,65971
514221,331500,0.3143720000000001,3.34,25,19989,7.02,1.7529932260513306,0.001,66055
514564,331600,0.3139146666666668,3.43,25,19998,7.73,3.2734150886535645,0.001,66140
514905,331700,0.31346000000000007,3.41,25,20008,6.54,1.927527904510498,0.001,66226
515234,331800,0.3130213333333334,3.29,25,20017,5.93,8.327629089355469,0.001,66308
515613,331900,0.312516,3.79,25,20027,9.88,17.63205909729004,0.001,66403
515984,332000,0.3120213333333335,3.71,25,20036,8.86,6.763599395751953,0.001,66495
516326,332100,0.31156533333333325,3.42,25,20045,7.04,8.289594650268555,0.001,66581
516684,332200,0.31108800000000003,3.58,25,20054,8.65,0.8369331955909729,0.001,66670
517008,332300,0.31065600000000004,3.24,25,20063,6.35,12.336113929748535,0.001,66751
517378,332400,0.3101626666666668,3.7,25,20073,8.69,2.7191920280456543,0.001,66844
517707,332500,0.3097240000000001,3.29,25,20081,6.79,2.604917526245117,0.001,66926
518042,332600,0.3092773333333332,3.35,25,20090,7.98,1.0801645517349243,0.001,67010
518389,332700,0.3088146666666667,3.47,25,20100,8.13,1.4811501502990723,0.001,67097
518722,332800,0.3083706666666668,3.33,25,20109,6.43,1.5632469654083252,0.001,67180
519054,332900,0.307928,3.32,25,20118,7.12,0.9126272201538086,0.001,67263
519354,333000,0.307528,3.0,25,20126,5.4,5.817863941192627,0.001,67338
519727,333100,0.3070306666666667,3.73,25,20136,8.69,8.19581127166748,0.001,67431
520043,333200,0.3066093333333333,3.16,25,20144,6.55,8.676204681396484,0.001,67510
520394,333300,0.3061413333333334,3.51,25,20154,7.65,3.64789080619812,0.001,67598
520746,333400,0.30567199999999994,3.52,25,20163,7.77,6.1093525886535645,0.001,67686
521095,333500,0.3052066666666666,3.49,25,20172,8.26,6.371199131011963,0.001,67773
521445,333600,0.30474,3.5,25,20181,7.3,17.60312843322754,0.001,67861
521821,333700,0.30423866666666655,3.76,25,20190,8.84,4.1272873878479,0.001,67955
522130,333800,0.3038266666666667,3.09,25,20199,5.69,0.7124019861221313,0.001,68032
522497,333900,0.30333733333333335,3.67,25,20208,8.68,1.6713680028915405,0.001,68124
522870,334000,0.30284,3.73,25,20218,9.0,0.9273337125778198,0.001,68217
523246,334100,0.30233866666666653,3.76,25,20227,9.49,6.769439220428467,0.001,68311
523581,334200,0.30189200000000005,3.35,25,20236,7.15,10.442758560180664,0.001,68395
523906,334300,0.30145866666666654,3.25,25,20244,6.39,13.316137313842773,0.001,68476
524274,334400,0.3009680000000001,3.68,25,20254,7.98,19.892988204956055,0.001,68568
524670,334500,0.30044000000000004,3.96,25,20264,10.57,9.472390174865723,0.001,68667
525015,334600,0.29998000000000014,3.45,25,20273,8.4,9.246916770935059,0.001,68753
525407,334700,0.29945733333333324,3.92,25,20283,10.49,13.338375091552734,0.001,68851
525754,334800,0.29899466666666674,3.47,25,20292,7.28,2.2461154460906982,0.001,68938
526124,334900,0.2985013333333333,3.7,25,20301,8.57,18.045883178710938,0.001,69030
526479,335000,0.29802799999999996,3.55,25,20310,8.04,3.4674975872039795,0.001,69119
526795,335100,0.2976066666666668,3.16,25,20319,5.78,10.782724380493164,0.001,69198
527166,335200,0.29711200000000004,3.71,25,20328,8.5,6.790258884429932,0.001,69291
527512,335300,0.2966506666666666,3.46,25,20337,7.26,4.411742687225342,0.001,69377
527893,335400,0.29614266666666667,3.81,25,20347,9.49,7.189527988433838,0.001,69473
528211,335500,0.2957186666666667,3.18,25,20356,7.0,7.218081951141357,0.001,69552
